party,overall_support_pct,cohesion_rice,n_scrutins
LREM,99.1,0.983,335
MoDem,98.7,0.975,304
UDI-Agir,86.3,0.815,240
EDS,77.2,0.891,121
LT,54.0,0.742,124
NI,52.6,0.495,92
LR,45.9,0.915,288
PS,36.7,0.967,199
FN,27.1,0.955,95
GDR-PCF,18.7,0.987,158
LFI,11.5,0.998,173
