corpus,n_units,n_scrutins,r2_bloque,r2_party,r2_party_domain,r2_party_x_domain,delta_party_vs_bloque,delta_domain
leyes,2075.0,335.0,0.469,0.573,0.577,0.593,0.104,0.02
enmiendas,13256.0,2575.0,0.332,0.351,0.356,0.361,0.019,0.01
