party,category,direction,party_pct,corpus_pct,diff_pp
NI,601 - National Way of Life: Positive,over,1.43,1.03,0.39
NI,303 - Governmental and Administrative Efficiency,under,1.95,4.66,-2.72
NI,501 - Environmental Protection: Positive,under,2.2,3.79,-1.59
NI,701 - Labour Groups: Positive,under,0.97,2.38,-1.41
NI,403 - Market Regulation,under,2.34,3.47,-1.14
NI,605 - Law and Order: Positive,under,3.96,4.74,-0.78
NI,502 - Culture: Positive,under,0.84,1.54,-0.7
PS,305 - Political Authority,over,29.12,23.4,5.72
PS,303 - Governmental and Administrative Efficiency,over,5.65,4.66,0.99
PS,301 - Federalism,over,3.38,2.93,0.46
PS,503 - Equality: Positive,over,4.21,3.81,0.4
PS,202 - Democracy,over,8.77,8.49,0.28
PS,502 - Culture: Positive,over,1.74,1.54,0.2
PS,605 - Law and Order: Positive,under,2.84,4.74,-1.9
PS,501 - Environmental Protection: Positive,under,2.35,3.79,-1.45
PS,201 - Freedom and Human Rights,under,2.29,3.29,-1.0
PS,411 - Technology and Infrastructure,under,3.11,3.65,-0.54
PS,601 - National Way of Life: Positive,under,0.55,1.03,-0.49
PS,403 - Market Regulation,under,2.98,3.47,-0.49
UDI-Agir,504 - Welfare State Expansion,over,14.65,13.19,1.46
UDI-Agir,506 - Education Expansion,over,4.09,2.85,1.24
UDI-Agir,605 - Law and Order: Positive,over,5.73,4.74,0.99
UDI-Agir,107 - Internationalism: Positive,over,1.66,0.84,0.82
UDI-Agir,604 - Traditional Morality: Negative,over,3.58,2.82,0.76
UDI-Agir,411 - Technology and Infrastructure,over,4.31,3.65,0.66
UDI-Agir,305 - Political Authority,under,17.4,23.4,-6.01
UDI-Agir,503 - Equality: Positive,under,2.96,3.81,-0.85
UDI-Agir,201 - Freedom and Human Rights,under,2.49,3.29,-0.79
UDI-Agir,403 - Market Regulation,under,2.93,3.47,-0.54
UDI-Agir,304 - Political Corruption,under,0.69,1.09,-0.4
UDI-Agir,601 - National Way of Life: Positive,under,0.71,1.03,-0.33
