storage_key,dossier_uid,scrutin_id,fecha_scrutin,titulo_scrutin,jorf_text_id,title_matched,match_score,bytes,status
DLR5L15N44492,DLR5L15N44492,999,2018-07-03,l'ensemble de la proposition de loi organique relative à la lutte contre la manipulation de l'information (première lecture).,JORFTEXT000037847556,<mark>LOI</mark> <mark>organique</mark> n° 2018-1201 du 22 décembre 2018 <mark>relative</mark> à la <mark>lutte</mark> <mark>contre</mark> la <mark>manipulation</mark> de <mark>l'information</mark> (1),1.41,1518,ok
DLR5L15N38216,DLR5L15N38216,1003,2018-07-04,l'ensemble de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).,JORFTEXT000037284442,<mark>LOI</mark> n° 2018-701 du 3 août 2018 <mark>renforçant</mark> la <mark>lutte</mark> <mark>contre</mark> les <mark>rodéos</mark> <mark>motorisés</mark> (1),1.18,6087,ok
DLR5L15N38186,DLR5L15N38186,1111,2018-07-30,l'ensemble de la proposition de loi relative à l'encadrement de l'utilisation du téléphone portable dans les établissements d'enseignement scolaire (texte de la commission mixte paritaire).,JORFTEXT000037284333,<mark>LOI</mark> n° 2018-698 du 3 août 2018 <mark>relative</mark> à <mark>l'encadrement</mark> de <mark>l'utilisation</mark> du <mark>téléphone</mark> <mark>portable</mark> dans les <mark>établissements</mark> <mark>d'enseignement</mark> <mark>scolaire</mark> (1),1.20,2978,ok
DLR5L15N37242,DLR5L15N37242,1156,2018-09-14,"l'ensemble du projet de loi pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine, durable et accessible à tous (nouvelle lecture).",JORFTEXT000037547946,"<mark>LOI</mark> n° 2018-938 du 30 octobre 2018 pour <mark>l'équilibre</mark> des <mark>relations</mark> <mark>commerciales</mark> dans le <mark>secteur</mark> <mark>agricole</mark> et <mark>alimentaire</mark> et une <mark>alimentation</mark> <mark>saine</mark>, <mark>durable</mark> et <mark>accessible</mark> à <mark>tous</mark> (1)",1.17,115076,ok
DLR5L15N36628,DLR5L15N36628,1184,2018-10-03,"l'ensemble du projet de loi portant évolution du logement, de l'aménagement et du numérique (texte de la commission mixte paritaire).",JORFTEXT000037639478,"<mark>LOI</mark> n° 2018-1021 du 23 novembre 2018 <mark>portant</mark> <mark>évolution</mark> du <mark>logement</mark>, de <mark>l'aménagement</mark> et du <mark>numérique</mark> (1)",1.17,560147,ok
DLR5L15N36918,DLR5L15N36918,1516,2018-11-29,l'ensemble de la proposition de loi relative à l'interdiction des violences éducatives ordinaires (première lecture).,JORFTEXT000038746663,<mark>LOI</mark> n° 2019-721 du 10 juillet 2019 <mark>relative</mark> à <mark>l'interdiction</mark> des <mark>violences</mark> <mark>éducatives</mark> <mark>ordinaires</mark> (1),1.08,1047,ok
DLR5L15N38097,DLR5L15N38097,1540,2018-12-06,l'ensemble de la proposition de loi visant à encadrer le démarchage téléphonique et à lutter contre les appels frauduleux (première lecture).,JORFTEXT000042148119,<mark>LOI</mark> n° 2020-901 du 24 juillet 2020 <mark>visant</mark> à <mark>encadrer</mark> le <mark>démarchage</mark> <mark>téléphonique</mark> et à <mark>lutter</mark> <mark>contre</mark> les <mark>appels</mark> <mark>frauduleux</mark> (1),1.05,15371,ok
DLR5L15N36726,DLR5L15N36726,1571,2018-12-12,l'ensemble de la proposition de loi visant à faciliter la sortie de l'indivision successorale et à relancer la politique du logement en outre-mer (deuxième lecture).,JORFTEXT000037864059,<mark>LOI</mark> n° 2018-1244 du 27 décembre 2018 <mark>visant</mark> à <mark>faciliter</mark> la <mark>sortie</mark> de <mark>l'indivision</mark> <mark>successorale</mark> et à <mark>relancer</mark> la <mark>politique</mark> du <mark>logement</mark> en <mark>outre</mark>-<mark>mer</mark> (1),1.19,6693,ok
DLR5L15N36499,DLR5L15N36499,1640,2019-01-29,l'ensemble de la proposition de loi relative au délai d'intervention du juge des libertés et de la détention en rétention administrative à Mayotte (première lecture).,JORFTEXT000038196209,<mark>LOI</mark> n° 2019-161 du 1er mars 2019 <mark>relative</mark> au <mark>délai</mark> <mark>d'intervention</mark> du <mark>juge</mark> des <mark>libertés</mark> et de la <mark>détention</mark> en <mark>rétention</mark> <mark>administrative</mark> à <mark>Mayotte</mark> (1),1.18,1594,ok
DLR5L15N37094,DLR5L15N37094,1653,2019-01-31,l'ensemble de la proposition de loi pour des mesures d'urgence contre la désertification médicale (première lecture).,JORFTEXT000038261631,,0.34,0,low_score_or_no_match
