scrutin_id,fecha,fecha_iso,sort,amendement_num,sous_amendement_num,es_sous_amendement,es_suppression,es_redaction_globale,es_identiques,demandeur,article_ref,ley_tipo,ley_titulo_corto,dossier_ref,titulo_scrutin
3905,2021-07-21,2021-07-21,rejeté,148,,0,0,0,1,M. Gosselin et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 148 de M. Gosselin et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3906,2021-07-21,2021-07-21,adopté,269,,0,0,0,1,M. Eliaou et l'amendement identique suivant,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 269 de M. Eliaou et l'amendement identique suivant à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3907,2021-07-21,2021-07-21,rejeté,1085,,0,0,0,0,Mme Genetet,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 1085 de Mme Genetet à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3908,2021-07-21,2021-07-21,rejeté,781,,0,0,0,0,M. Becht,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 781 de M. Becht à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3909,2021-07-22,2021-07-22,rejeté,135,,0,0,0,1,M. Gosselin et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 135 de M. Gosselin et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
391,2018-02-13,2018-02-13,rejeté,8,,0,0,0,1,M. Larrivé et l'amendement identique suivant,premier,projet de loi,relatif à l'élection des représentants au Parlement européen,,l'amendement n°8 de M. Larrivé et l'amendement identique suivant à l'article premier du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3910,2021-07-22,2021-07-22,rejeté,620,,0,0,0,1,Mme Fiat et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 620 de Mme Fiat et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3911,2021-07-22,2021-07-22,rejeté,139,,0,0,0,1,M. Gosselin et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 139 de M. Gosselin et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3912,2021-07-22,2021-07-22,rejeté,568,,0,0,0,0,Mme El Aaraje,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 568 de Mme El Aaraje à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3913,2021-07-22,2021-07-22,rejeté,499,,0,0,0,0,M. Brindeau,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 499 de M. Brindeau à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
