scrutin_id,titulo_scrutin,fecha,dossier_uid,dossier_titre,match_score,code_loi,titre_loi_promulgation,nor_jo,url_legifrance,nor_jo_rectificatif,url_legifrance_rectificatif,texto_oficial
341,l'ensemble de la proposition de loi permettant une bonne application du régime d'asile européen (première lecture).,2017-12-07,DLR5L15N36071,Bonne application du régime d’asile européen,0.711,2018-187,permettant une bonne application du r\u00e9gime d'asile europ\u00e9en,INTX1734902L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1734902L,,,
345,l'ensemble du projet de loi de finances rectificative pour 2017 (première lecture).,2017-12-12,DLR5L15N44111,Projet de loi de finances rectificative pour 2021,0.980,2021-1549,de finances rectificative pour 2021,ECOX2131239L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2131239L,,,
351,l'ensemble du projet de loi relatif à l'orientation et à la réussite des étudiants (première lecture).,2017-12-19,DLR5L15N36143,Orientation et réussite des étudiants,0.705,2018-166,relative \u00e0 l'orientation et \u00e0 la r\u00e9ussite des \u00e9tudiants,ESRX1730554L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ESRX1730554L,,,
365,l'ensemble du projet de loi pour un État au service d'une société de confiance (première lecture).,2018-01-30,DLR5L15N36159,Etat au service d'une société de confiance (ESSOC),0.750,2018-727,pour un \u00c9tat au service d'une soci\u00e9t\u00e9 de confiance,CPAX1730519L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=CPAX1730519L,,,
386,l'ensemble du projet de loi ratifiant diverses ordonnances prises sur le fondement de la loi n° 2017-1340 du 15 septembre 2017 d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).,2018-02-06,DLR5L15N35836,Mesures pour le renforcement du dialogue social,0.820,2017-1340,d'habilitation \u00e0 prendre par ordonnances les mesures pour le renforcement du dialogue social,MTRX1717150L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MTRX1717150L,,,
389,l'ensemble du projet de loi relatif à la protection des données personnelles (première lecture).,2018-02-13,DLR5L15N36220,Protection des données personnelles,0.820,2018-493,relative \u00e0 la protection des donn\u00e9es personnelles,JUSC1732261L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=JUSC1732261L,,,
402,l'ensemble du projet de loi relatif à l'orientation et à la réussite des étudiants (texte de la commission mixte paritaire).,2018-02-15,DLR5L15N42194,Projet de loi relatif à la régulation et à la protection de l’accès aux œuvres culturelles à l’ère numérique,0.594,2021-1382,relative \u00e0 la r\u00e9gulation et \u00e0 la protection de l\u2019acc\u00e8s aux \u0153uvres culturelles \u00e0 l\u2019\u00e8re num\u00e9rique,MICE2106504L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MICE2106504L,,,
403,l'ensemble du projet de loi ratifiant l'ordonnance n° 2017-48 du 19 janvier 2017 relative à la profession de physicien médical et l'ordonnance n° 2017-50 du 19 janvier 2017 relative à la reconnaissance des qualifications professionnelles dans le domaine de la santé (lecture définitive).,2018-02-15,DLR5L15N35846,Physicien médical,0.820,2018-132,ratifiant l'ordonnance n\u00b0 2017-48 du 19 janvier 2017 relative \u00e0 la profession de physicien m\u00e9dical et l'ordonnance n\u00b0 2017-50 du 19 janvier 2017 relative \u00e0 la reconnaissance des qualifications professionnelles dans le domaine de la sant\u00e9,SSAH1703310L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=SSAH1703310L,,,
407,l'ensemble du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).,2018-02-20,DLR5L15N36254,Election des représentants au Parlement européen,0.820,2018-509,relative \u00e0 l'\u00e9lection des repr\u00e9sentants au Parlement europ\u00e9en,INTX1733825L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1733825L,,,
410,"l'ensemble du projet de loi, adopté par le Sénat, autorisant la ratification de l'accord de transport aérien entre les États-Unis d'Amérique, premièrement, l'Union européenne et ses États membres, deuxièmement, l'Islande, troisièmement, et le Royaume de Norvège, quatrièmement (première lecture).",2018-03-06,DLR5L15N44962,Projet de loi autorisant l’approbation de l’accord portant révision de l’accord général de coopération entre les États membres de la Commission de l’océan Indien,0.483,,,,,,,
419,l'ensemble du projet de loi organique relatif à la consultation sur l'accession à la pleine souveraineté de la Nouvelle-Calédonie (première lecture).,2018-03-20,DLR5L15N40949,Projet de loi organique relatif aux délais d’organisation des élections législatives et sénatoriales,0.598,2020-1669,relative aux d\u00e9lais d\u2019organisation des \u00e9lections l\u00e9gislatives et s\u00e9natoriales partielles,INTA2030919L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTA2030919L,,,
433,l'ensemble du projet de loi relatif à la programmation militaire pour les années 2019 à 2025 et portant diverses dispositions intéressant la défense (première lecture).,2018-03-27,DLR5L15N42412,"Projet de loi relatif à la différenciation, la décentralisation, la déconcentration et portant diverses mesures de simplification de l'action publique locale",0.526,2022-217,"relative \u00e0 la diff\u00e9renciation, la d\u00e9centralisation, la d\u00e9concentration et portant diverses mesures de simplification de l'action publique locale",TERB2105196L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=TERB2105196L,,,
434,"l'ensemble de la proposition de loi portant transposition de la directive du Parlement européen et du Conseil sur la protection des savoir-faire et des informations commerciales non divulgués contre l'obtention, l'utlisation et la divulgation illicites (première lecture).",2018-03-28,DLR5L15N36261,Parlement,0.820,,,,,,,
477,l'ensemble du projet de loi pour un nouveau pacte ferroviaire (première lecture).,2018-04-17,DLR5L15N37409,Application de la loi pour un nouveau pacte ferroviaire,0.843,,,,,,,
578,"l'ensemble du projet de loi pour une immigration maîtrisée, un droit d'asile effectif et une intégration réussie (première lecture).",2018-04-22,DLR5L15N36233,Immigration,0.820,,,,,,,
579,l'ensemble du projet de loi relatif à l'élection des représentants au Parlement européen (texte de la commission mixte paritaire).,2018-05-14,DLR5L15N36254,Election des représentants au Parlement européen,0.820,2018-509,relative \u00e0 l'\u00e9lection des repr\u00e9sentants au Parlement europ\u00e9en,INTX1733825L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1733825L,,,
619,l'ensemble du projet de loi renforçant la lutte contre les violences sexuelles et sexistes (première lecture).,2018-05-16,DLR5L15N36577,Renforcement de la lutte contre les violences sexuelles et sexistes,0.853,,,,,,,
622,l'ensemble de la proposition de loi en faveur de l'engagement associatif (première lecture).,2018-05-17,DLR5L15N36532,Engagement associatif,0.820,2021-874,en faveur de l\u2019engagement associatif,MENX1813830L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MENX1813830L,,,
729,l'ensemble du projet de loi pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine et durable (première lecture).,2018-05-30,DLR5L15N36336,Equilibre des relations commerciales dans le secteur agro-alimentaire (EGALIM),0.714,2018-938,"pour l'\u00e9quilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine, durable et accessible \u00e0 tous",AGRX1736303L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=AGRX1736303L,,,
928,"l'ensemble du projet de loi portant évolution du logement, de l'aménagement et du numérique (première lecture).",2018-06-12,DLR5L15N36537,"Evolution du logement, de l’aménagement et du numérique (ELAN)",0.791,2018-1021,"portant \u00e9volution du logement, de l'am\u00e9nagement et du num\u00e9rique",TERL1805474L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=TERL1805474L,,,
942,l'ensemble du projet de loi pour un nouveau pacte ferroviaire (texte de la commission mixte paritaire).,2018-06-13,DLR5L15N36460,Nouveau pacte ferroviaire,0.820,2018-515,pour un nouveau pacte ferroviaire,TRAT1805471L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=TRAT1805471L,,,
950,l'ensemble de la proposition de loi relative à la protection du secret des affaires (texte de la commission mixte paritaire).,2018-06-14,DLR5L15N36388,Protection du secret des affaires,0.820,2018-670,relative \u00e0 la protection du secret des affaires,JUSX1805103L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=JUSX1805103L,,,
974,l'ensemble du projet de loi pour la liberté de choisir son avenir professionnel (première lecture).,2018-06-19,DLR5L15N37956,Ordonnances prévues par la loi pour la liberté de choisir son avenir professionnel,0.816,,,,,,,
989,l'ensemble de la proposition de loi relative à l'accueil des gens du voyage et à la lutte contre les installations illicites (première lecture).,2018-06-21,DLR5L15N36109,Accueil des gens du voyage et lutte contre les installations illicites,0.791,,,,,,,
995,l'ensemble du projet de loi renforçant l'efficacité de l'administration pour une relation de confiance avec le public (nouvelle lecture).,2018-06-26,DLR5L15N42086,Projet de loi favorisant l'égalité des chances pour l'accès à certaines écoles de service public,0.593,,,,,,,
998,l'ensemble de la proposition de loi relative à la lutte contre la manipulation de l'information (première lecture).,2018-07-03,DLR5L15N36488,Lutte contre la manipulation de l'information,0.820,2018-1202,relative \u00e0 la lutte contre la manipulation de l'information,MICX1808389L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MICX1808389L,,,
