party_abbrev,ches_party,rile_model,rile_human,lrgen,lrecon,galtan
LFI,FI,-29.38,-26.66,1.25,0.875,3.125
PS,PS,-26.582,-27.632,3.0,3.125,2.75
MoDem,MoDem,-22.921,-16.593,6.125,6.25,4.5
EELV,EELV,-14.035,-7.273,2.5,2.875,1.625
LREM,LREM,-8.549,0.0,6.3333335,6.3333335,3.1666667
FN,RN,-6.204,1.674,9.75,6.875,8.125
PCF,PCF,0.0,-16.667,1.125,1.125,3.75
LR,LR,4.255,13.619,7.875,8.125,6.875
