id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
330240,Éric Ciotti,ECiotti,twitter.com/ECiotti,499,bernardchaix:13; eciotti:13; lejdd:11; bfmtv:9; groupeudr:7; c_dintorni:6; prlcastillo:4; a_masson06:4; nice_matin:4; valentin_antoi:4; nissarugby:3; ca_ginesy:3; bfmcotedazur:3; cestrosi:3; a_dupalais:2; hanane_mnsr:2; f3cotedazur:2; challoncle:2; challenges:2; rafaelquessada2:2; le_parisien:2; cnews:2; le_figaro:2; chris_gomart:2; bfmtv_inside:1; juliettechesnel:1; mchantrait:1; j_bardella:1; nicepresse:1; maxime_michelet:1
720568,Agnès Thill,ThillAgnes,twitter.com/ThillAgnes,498,plumedaliocha:23; contribuables:18; olivierbabeau:16; le_figaro:15; justice_gouv:12; vtremolet:9; fabienbougle:9; cheocheduval:9; bayrou:9; dominiquereynie:8; alexandrejardin:8; europe1:7; montbrialavocat:7; seblecornu:7; emmanuelmacron:7; davidlisnard:6; h2brgrd:6; michelf29015597:6; paulsugy:6; partisocialiste:6; gouvernementfr:6; interieur_gouv:5; gabriellecluzel:5; charlesprats:5; denispayre:5; femmeazadi:5; cnews:5; alexdevecchio:4; 7559pr:4; agri_gouv:4
721226,Sabine Rubin,SabineRubinFI93,twitter.com/SabineRubinFI93,496,sabinerubinfi93:15; clem_autain:13; ericcoquerel:9; jlmelenchon:8; franceinsoumise:7; jmblanquer:7; deputee_obono:7; trouveaurelie:6; arenasfcpe:6; vpecresse:6; alexiscorbiere:5; olivierveran:4; jeancastex:4; aquatennens:4; snetapfsu:4; vidalfrederique:4; mathildepanot:4; simonnet2:4; francois_ruffin:3; michel_larive:3; ugobernalicis:3; deputeratenon:3; gdarmanin:3; afpsofficiel:3; brunolemaire:2; lacgtcommunique:2; colinchampion_:2; luce_melanie:2; fsunationale:2; mmendiharat:2
720326,Brahim Hammouche,BHammouche5708,twitter.com/BHammouche5708,496,deputesdem:135; emmanuelmacron:55; bhammouche5708:21; jeancastex:19; olivierveran:19; lcp:18; gouvernementfr:17; lerl_thionville:16; cantonhayange21:15; prefet57:12; lci:11; lerl_metz:11; radioorient:10; gdarmanin:10; mosellecd57:10; f3lorraine:9; modem:9; bfmtv:9; hebdo_lasemaine:9; equipedefrance:8; assembleenat:8; bhammouche2022:7; fblorrainenord:7; brunolemaire:6; lacroix:6; lemondefr:6; bayrou:6; jmblanquer:6; enmarche57:5; cbeaune:5
721194,Frédérique Dumas,dumasfrederique,twitter.com/dumasfrederique,494,lepoint:42; lemondefr:35; emmanuelmacron:26; arminarefi:15; ipacglobal:14; groupelibterran:13; dumasfrederique:12; denismukwege:6; le_figaro:6; changefrance:5; goetzingerg:4; uyghurcongress:4; jy_ledrian:4; organcoalition:4; robiolle:3; cnews:3; lopinion_fr:3; gabrielattal:3; uyghurinstitute:3; mounirsatouri:3; _alairlibre:3; libe:2; colossusdiplo:2; youtube:2; g_garrigos:2; lcp:2; villanicedric:2; josepborrellf:2; robertametsola:2; jdetemmerman:2
718884,Valérie Bazin-Malgras,vbazinmalgras,twitter.com/vbazinmalgras,478,villedetroyes:111; vbazinmalgras:72; lesrepublicains:55; francoisbaroin:50; republicains_an:37; chjacob77:23; assembleenat:17; aurelienpradie:15; 5edragons:15; vpecresse:11; estac_officiel:10; constancelegrip:9; lcp:8; eciotti:7; emmanuelmacron:7; an_afcult:7; prefet_10:6; martingabriel_3:6; tgassilloud:5; maillotjaunelcl:5; receysurource:5; ligue1ubereats:5; brigitte_kuster:5; damienabad:5; odassault:5; juliendive:5; maximeminot:5; iheliotcouronne:5; fnsea:4; agnesevren:4
722244,Marie-Ange Magne,MarieAngeMagne,twitter.com/MarieAngeMagne,473,emmanuelmacron:103; ephilippepm:23; prefet87:20; marieangemagne:18; gdarmanin:18; an_finances:14; gouvernementfr:14; assembleenat:13; brunolemaire:11; jeancastex:10; franckriester:10; lepopulaire_fr:9; r_bachelot:7; gdarrieussecq:7; elysee:6; ministerecc:6; olivierdussopt:6; olivierveran:6; jmblanquer:6; franceinfo:5; transpod_inc:5; gabrielattal:5; alexiholroyd:5; agnesrunacher:5; hyperloop87:5; ademontchalin:5; gdarrieussecq21:4; larem_an:4; villelimoges87:4; 1elisamoreno:4
720298,Émilie Cariou,EmilieCariou,twitter.com/EmilieCariou,470,lemondefr:34; faureolivier:19; partisocialiste:13; franceinter:10; libe:9; lcp:5; bricegaillard:5; bfmtv:5; franceculture:5; ens_ulm:5; emiliecariou:5; albanegaillot:5; noustoutesorg:5; gc_mardis:4; francediplo:4; artefr:4; lobs:4; unesco_fr:3; edwyplenel:3; rglucks1:3; theolaubry:3; socialistesan:3; mincolonna:3; franceintheuk:3; pcanfin:3; emmarafowicz:2; chloeridel:2; prefet55:2; fc_actu:2; evajoly:2
721568,Pierre Person,pierr_person,twitter.com/pierr_person,466,usualmoney:100; pierr_person:34; rglucks1:15; emmanuelmacron:14; raph_bloch:13; fedorovmykhailo:12; nathalieloiseau:9; ericlagadec:9; paddi_hansen:9; thebigwhale_:8; ukrainestand:8; adlitb:6; curvefinance:6; pendle_fi:6; bfmcrypto:6; adan_asso:6; iaponomarenko:6; edwardmayor:5; zelenskyyua:5; momir_amidzic:4; stutireal:4; iosgvc:4; femeninna:4; stachalex:4; fpetitan:4; defi_dad:3; edge_pod:3; ether_fi:3; mevcapital:3; sachahoulie:3
719822,Sabine Thillaye,SabineThillaye,twitter.com/SabineThillaye,462,deputesdem:40; mfesneau:35; emmanuelmacron:24; jnbarrot:21; seblecornu:13; modem:10; sabinethillaye:7; ifri_:6; j_m_jacques:6; amb_delattre:6; pl_maurice:5; opexnews:5; benjaminhaddad:5; assembleenat:5; klinkertbrigitt:5; fpetitan:5; bayrou:5; dga:4; francediplo:4; an_defense:4; elysee:4; cerfaifri:3; ambdeenfr:3; senat:3; bfmtv:2; franceinfo:2; armeedeterre:2; cemat_fr:2; lcp:2; sesu_ua:2
