tweet_id,timestamp,text,author_handle,mentioned_handles,deputy_id,full_name,twitter_name,twitter_web_urls,political_group_abbrev,political_group
2008985408416477604,Wed Jan 07 19:33:41 +0000 2026,"RT @EmmanuelMacron: Il y a onze ans, le terrorisme islamiste frappait la République et endeuillait la France.

En frappant Charlie Hebdo, l…",alouismars,emmanuelmacron,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2003187513004032366,Mon Dec 22 19:34:55 +0000 2025,"RT @DIAVictimes: « Le monde des bisounours... » 🧸 

C’est donc ça, la justice #restaurative ? 

Idées reçues, préjugés, clichés… la délégué…",alouismars,diavictimes,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2003022353715069188,Mon Dec 22 08:38:38 +0000 2025,"RT @EmmanuelMacron: Bientôt le coup d’envoi de la CAN !

L’Afrique va faire vibrer les stades et nos cœurs. Au Maroc qui organise, grande n…",alouismars,emmanuelmacron,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2001013560441471098,Tue Dec 16 19:36:24 +0000 2025,"RT @EmmanuelMacron: Contrôler l’âge sur les réseaux sociaux, comme nous l’avons fait pour les sites pornographiques : nous pouvons le faire…",alouismars,emmanuelmacron,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2001013109025333546,Tue Dec 16 19:34:36 +0000 2025,"RT @EmmanuelMacron: Dans le quartier de Saint-Jérôme à Marseille, un nouveau commissariat a ouvert ses portes pour les 13e et 14e arrondiss…",alouismars,emmanuelmacron,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2001012249876668873,Tue Dec 16 19:31:12 +0000 2025,"RT @franceinfo: ⚡ALERTE INFO - ""Il faut taper au portefeuille, ça n'est pas festif de se droguer"", a déclaré le chef de l'Etat lors d'un éc…",alouismars,franceinfo,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
2000478287701639244,Mon Dec 15 08:09:25 +0000 2025,"RT @DIAVictimes: Les mots manquent face à l’horreur la plus abjecte.

Nos pensées émues et solidaires accompagnent la famille et tous les p…",alouismars,diavictimes,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1999756765949501444,Sat Dec 13 08:22:21 +0000 2025,"RT @Arthur_Dvx: Dejà 65k€ en 48h, merci pour Sonia. Via @le_Parisien et @RonTesoriere https://t.co/p8c93R8xid",alouismars,arthur_dvx; le_parisien; rontesoriere,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1993359417127915679,Tue Nov 25 16:41:34 +0000 2025,"RT @DIAVictimes: Aujourd'hui, a lieu la journée internationale pour l’élimination de la violence à l’égard des femmes. 

Un temps fort de m…",alouismars,diavictimes,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1991878281248047407,Fri Nov 21 14:36:04 +0000 2025,"RT @DIAVictimes: 🗣️ « Le numérique, on est nés avec, on vit avec, on s’engage avec. »

Merci à @perrinegoulet d’avoir organisé une journée…",alouismars,diavictimes; perrinegoulet,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
