party,category,direction,party_pct,corpus_pct,diff_pp
PS,605 - Law and Order: Positive,under,5.08,5.96,-0.88
PS,601 - National Way of Life: Positive,under,1.79,2.61,-0.82
PS,501 - Environmental Protection: Positive,under,2.95,3.68,-0.73
PS,104 - Military: Positive,under,0.74,1.46,-0.72
PS,703 - Agriculture and Farmers: Positive,under,2.45,3.01,-0.56
PS,304 - Political Corruption,under,1.28,1.77,-0.49
UDI-Agir,104 - Military: Positive,over,4.53,1.46,3.07
UDI-Agir,107 - Internationalism: Positive,over,4.12,3.31,0.82
UDI-Agir,601 - National Way of Life: Positive,over,3.23,2.61,0.62
UDI-Agir,402 - Incentives,over,1.14,0.59,0.55
UDI-Agir,105 - Military: Negative,over,0.96,0.51,0.45
UDI-Agir,101 - Foreign Special Relationships: Positive,over,1.07,0.65,0.42
UDI-Agir,503 - Equality: Positive,under,2.95,4.53,-1.58
UDI-Agir,703 - Agriculture and Farmers: Positive,under,1.58,3.01,-1.43
UDI-Agir,504 - Welfare State Expansion,under,7.59,8.7,-1.11
UDI-Agir,501 - Environmental Protection: Positive,under,2.82,3.68,-0.86
UDI-Agir,201 - Freedom and Human Rights,under,2.25,2.96,-0.7
UDI-Agir,604 - Traditional Morality: Negative,under,0.87,1.44,-0.56
