party,category,direction,party_pct,corpus_pct,diff_pp
PS,601 - National Way of Life: Positive,under,0.0,3.31,-3.31
PS,303 - Governmental and Administrative Efficiency,under,1.27,3.41,-2.15
PS,305 - Political Authority,under,3.8,5.94,-2.14
PS,107 - Internationalism: Positive,under,0.0,1.74,-1.74
PS,104 - Military: Positive,under,0.0,1.47,-1.47
PS,606 - Civic Mindedness: Positive,under,0.0,1.22,-1.22
UDI,305 - Political Authority,over,8.51,5.94,2.57
UDI,706 - Non-economic Demographic Groups,over,3.55,1.05,2.49
UDI,601 - National Way of Life: Positive,over,5.67,3.31,2.36
UDI,701 - Labour Groups: Positive,over,8.51,6.74,1.77
UDI,605 - Law and Order: Positive,over,8.86,7.3,1.56
UDI,505 - Welfare State Limitation,over,1.42,0.35,1.07
UDI,416 - Anti-Growth Economy: Positive,under,0.36,2.87,-2.52
UDI,202 - Democracy,under,3.19,5.42,-2.23
UDI,107 - Internationalism: Positive,under,0.0,1.74,-1.74
UDI,411 - Technology and Infrastructure,under,2.84,4.41,-1.58
UDI,403 - Market Regulation,under,2.13,3.46,-1.33
UDI,502 - Culture: Positive,under,0.71,1.77,-1.06
