id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
610775,Philippe Gomès,PhilippeGomesCE,twitter.com/PhilippeGomesCE,1000,caledoniee:926; ncla1ere:16; la1ere:10; philippegomesce:8; congresnc:8; franceculture:4; annickgirardin:2; erichelard:2; assembleenat:2; le_figaro:2; yvesthreard:2; udi_off:2; laurentwauquiez:2; la_fedom:2; lacroix:2; lepoint:2; seblecornu:2; lncnc:2
330240,Éric Ciotti,ECiotti,twitter.com/ECiotti,999,bernardchaix:26; eciotti:26; lejdd:22; bfmtv:18; groupeudr:14; c_dintorni:12; prlcastillo:8; a_masson06:8; nice_matin:8; valentin_antoi:8; nissarugby:6; ca_ginesy:6; bfmcotedazur:6; cestrosi:6; a_dupalais:4; hanane_mnsr:4; f3cotedazur:4; challoncle:4; challenges:4; rafaelquessada2:4; le_parisien:4; cnews:4; le_figaro:4; chris_gomart:4; bfmtv_inside:2; juliettechesnel:2; mchantrait:2; j_bardella:2; nicepresse:2; maxime_michelet:2
720598,Marguerite Deprez-Audebert,MDeprezAudebert,twitter.com/MDeprezAudebert,998,modem:126; agnesrunacher:124; emmanuelmacron:120; elisabeth_borne:104; enmarchefr:46; bayrou:38; bethunemajorite:34; lcp:28; mfesneau:24; jnbarrot:22; brunolemaire:18; valeriehayer:18; brigbourguignon:14; deputesdem:12; j_democrates:12; assembleenat:12; sarahelhairy:10; bfmtv:10; avecvous:10; franceinter:8; philippemichelk:8; renaissance_ue:8; pde_edp:8; jmblanquer:8; grudlerch:6; renaissance:6; renaissance_62:6; e_dupondm:6; patrickmignola:6; europe1:6
720568,Agnès Thill,ThillAgnes,twitter.com/ThillAgnes,996,plumedaliocha:46; contribuables:36; olivierbabeau:32; le_figaro:30; justice_gouv:24; vtremolet:18; fabienbougle:18; cheocheduval:18; bayrou:18; dominiquereynie:16; alexandrejardin:16; europe1:14; montbrialavocat:14; seblecornu:14; emmanuelmacron:14; davidlisnard:12; h2brgrd:12; michelf29015597:12; paulsugy:12; partisocialiste:12; gouvernementfr:12; interieur_gouv:10; gabriellecluzel:10; charlesprats:10; denispayre:10; femmeazadi:10; cnews:10; alexdevecchio:8; 7559pr:8; agri_gouv:8
720402,Xavier Paluszkiewicz,XavierPalu2022,twitter.com/XavierPalu2022|twitter.com/XavierPalu2017,994,emmanuelmacron:66; ter_metz_lux:20; bryanxryan:16; larem_54:15; xavierpalu2017:15; lesfrontaliers:14; alliance_metz:12; gdarmanin:12; cbeaune:12; klinkertbrigitt:12; sdis54:10; assembleenat:10; alliancepn54:8; ccastaner:8; olivierveran:8; wort_fr:7; jeunesmacronge:6; villedebriey:6; lremlux:6; longwytourisme:6; prefet54:6; olivierdussopt:6; steven_dacosta:6; avecvous:6; omelchenkovadym:6; rtl5minutes:5; mfesneau:4; actufr:4; frontaliersch:4; pierrickbgs:4
721226,Sabine Rubin,SabineRubinFI93,twitter.com/SabineRubinFI93,992,sabinerubinfi93:30; clem_autain:26; ericcoquerel:18; jlmelenchon:16; franceinsoumise:14; jmblanquer:14; deputee_obono:14; trouveaurelie:12; arenasfcpe:12; vpecresse:12; alexiscorbiere:10; olivierveran:8; jeancastex:8; aquatennens:8; snetapfsu:8; vidalfrederique:8; mathildepanot:8; simonnet2:8; francois_ruffin:6; michel_larive:6; ugobernalicis:6; deputeratenon:6; gdarmanin:6; afpsofficiel:6; brunolemaire:4; lacgtcommunique:4; colinchampion_:4; luce_melanie:4; fsunationale:4; mmendiharat:4
720326,Brahim Hammouche,BHammouche5708,twitter.com/BHammouche5708,992,deputesdem:270; emmanuelmacron:110; bhammouche5708:42; jeancastex:38; olivierveran:38; lcp:36; gouvernementfr:34; lerl_thionville:32; cantonhayange21:30; prefet57:24; lci:22; lerl_metz:22; radioorient:20; gdarmanin:20; mosellecd57:20; f3lorraine:18; modem:18; bfmtv:18; hebdo_lasemaine:18; equipedefrance:16; assembleenat:16; bhammouche2022:14; fblorrainenord:14; brunolemaire:12; lacroix:12; lemondefr:12; bayrou:12; jmblanquer:12; enmarche57:10; cbeaune:10
721194,Frédérique Dumas,dumasfrederique,twitter.com/dumasfrederique,988,lepoint:84; lemondefr:70; emmanuelmacron:52; arminarefi:30; ipacglobal:28; groupelibterran:26; dumasfrederique:24; denismukwege:12; le_figaro:12; changefrance:10; goetzingerg:8; uyghurcongress:8; jy_ledrian:8; organcoalition:8; robiolle:6; cnews:6; lopinion_fr:6; gabrielattal:6; uyghurinstitute:6; mounirsatouri:6; _alairlibre:6; libe:4; colossusdiplo:4; youtube:4; g_garrigos:4; lcp:4; villanicedric:4; josepborrellf:4; robertametsola:4; jdetemmerman:4
720046,Audrey Dufeu,audreydufeu,twitter.com/audreydufeu,984,audreydufeu:78; emmanuelmacron:62; olivierveran:30; neifarbassem:26; charlottecaubel:24; auroreberge:22; oliviagregoire:20; jeunesmacron44:18; elisabeth_borne:16; jlmelenchon:16; assembleenat:16; enthoven_r:14; guerin_serge:14; qofficiel:14; steph_sejourne:12; brunolemaire:12; snazairenews:12; avecvous:12; avecvous44:12; ccastaner:12; berrutgilles:12; editionsducerf:12; gabrielattal:10; f3paysdelaloire:10; valeriehayer:10; sophiaaram:10; presseocean:10; fnadepa:10; mahedavian:10; jeancastex:10
267306,André Chassaigne,AndreChassaigne,twitter.com/AndreChassaigne,966,fabien_roussel:229; deputespcf:155; andrechassaigne:154; jubrugerolles:107; lcp:85; deputesgdr:44; pcf:42; l_deffontaines:38; yannickmonnet3:30; pcf_63:26; humanite_fr:25; assembleenat:16; bfmtv:14; montagnethiers:12; pcfagriculture:10; senateurscrce:10; sommetelevage:10; cyrilcineux:9; l_amf:9; maires_ruraux:9; cecilecukierman:8; franceinfo:8; fetedelhumanite:8; sebastienjumel:8; sante_gouv:8; lamontagne_fr:8; elisabeth_borne:8; qofficiel:8; lci:7; ianbrossat:7
